ID,Name,Round,Model,Source_File,Rendered_File,Mermaid_URL,Status
DIAGRAM-CHATGPT-V1,ChatGPT V1,v1,ChatGPT,diagrams/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-chatgpt-v1.mmd,images/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-chatgpt-v1.png,https://mermaid.ai/d/b49cf4f6-5071-4207-8673-0ae56d328ed6,archived submission
DIAGRAM-CLAUDE-V1,Claude V1,v1,Claude,diagrams/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-claude-v1.mmd,images/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-claude-v1.png,https://mermaid.ai/d/fade689d-cfd2-47d9-b316-86a21a0533fb,archived submission
DIAGRAM-COPILOT-V1,Copilot V1,v1,Copilot,diagrams/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-copilot-v1.mmd,images/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-copilot-v1.png,https://mermaid.ai/d/8fe5c9ae-c8ac-4754-98fd-268ae3ceeef7,Round 1 top performer
DIAGRAM-GEMINI-V1,Gemini V1,v1,Gemini,diagrams/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-gemini-v1.mmd,images/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-gemini-v1.png,https://mermaid.ai/d/d93b0060-2743-40de-869e-a84dc07553f2,archived submission
DIAGRAM-NOTION-V1,Notion V1,v1,Notion,diagrams/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-notion-v1.mmd,images/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-notion-v1.png,https://mermaid.ai/d/fb3557e2-df35-46f8-a8cd-4abe56c82ed5,specialty-role archive
DIAGRAM-PERPLEXITY-V1,Perplexity V1,v1,Perplexity,diagrams/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-perplexity-v1.mmd,images/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-perplexity-v1.png,https://mermaid.ai/d/2f015a7f-4589-4a27-8cc4-5b2d7bcd9d83,archived submission
DIAGRAM-REPLIT-V1,Replit V1,v1,Replit,diagrams/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-replit-v1.mmd,images/v1/etch-ai-sketch-using-a-council-to-design-at-velocity-replit-v1.png,https://mermaid.ai/d/90d988cd-3af8-4fcf-b42e-4bd3da3da29a,late-entry archive
DIAGRAM-CHATGPT-V2,ChatGPT V2,v2,ChatGPT,diagrams/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-chatgpt-v2.mmd,images/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-chatgpt-v2.png,https://mermaid.ai/d/18c4c328-bef3-4d80-bebf-d9127c39fe43,archived revision
DIAGRAM-CHATGPT-V2PRO,ChatGPT V2 Pro,v2,ChatGPT,diagrams/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-chatgpt-v2pro.mmd,images/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-chatgpt-v2pro.png,https://mermaid.ai/d/e2a6df7d-dbbe-40d6-bdae-967ac33737be,exhibition archive
DIAGRAM-CLAUDE-V2,Claude V2,v2,Claude,diagrams/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-claude-v2.mmd,images/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-claude-v2.png,https://mermaid.ai/d/2e9a4321-6302-44ca-82cc-e2020479fdf5,Round 2 top performer
DIAGRAM-COPILOT-V2,Copilot V2,v2,Copilot,diagrams/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-copilot-v2.mmd,images/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-copilot-v2.png,https://mermaid.ai/d/ea1ba020-7f26-483d-9892-3d98b5b6db23,archived revision
DIAGRAM-GEMINI-V2,Gemini V2,v2,Gemini,diagrams/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-gemini-v2.mmd,images/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-gemini-v2.png,https://mermaid.ai/d/54541ba0-3c57-4065-bf53-c698123747bc,archived revision
DIAGRAM-NOTION-V2,Notion V2,v2,Notion,diagrams/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-notion-v2.mmd,images/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-notion-v2.png,https://mermaid.ai/d/b40280fd-8ef3-4992-bbe3-9dbfce6fe603,specialty-role archive
DIAGRAM-PERPLEXITY-V2,Perplexity V2,v2,Perplexity,diagrams/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-perplexity-v2.mmd,images/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-perplexity-v2.png,https://mermaid.ai/d/1e77a8a7-ec42-47ea-8cc6-8fe03204785c,archived revision
DIAGRAM-REPLIT-V2,Replit V2,v2,Replit,diagrams/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-replit-v2.mmd,images/v2/etch-ai-sketch-using-a-council-to-design-at-velocity-replit-v2.png,https://mermaid.ai/d/478c63dc-47c1-419a-b4a9-dac33707fc55,late-entry archive
